ticket_id,customer_id,opened_date,resolved_date,severity,resolved
142,90,2023-01-30,2023-02-04,High,1
143,90,2023-05-27,2023-06-03,Low,1
144,90,2023-10-01,2023-10-06,Medium,1
145,90,2023-07-29,2023-08-05,High,1
146,90,2023-08-17,2023-08-30,Low,1
147,90,2023-02-22,2023-03-07,High,1
148,91,2023-03-17,2023-03-19,Medium,1
149,91,2023-06-22,2023-06-29,Critical,1
150,92,2023-05-09,2023-05-23,Medium,1
151,92,2023-10-28,2023-11-06,High,1
152,92,2023-12-23,2023-12-27,Critical,1
153,93,2023-06-23,2023-06-30,High,1
154,93,2023-02-19,2023-03-05,High,1
155,93,2023-10-15,2023-10-27,Low,1
156,94,2023-01-16,2023-01-26,Medium,1
157,95,2023-06-17,2023-06-18,Medium,1
158,95,2023-02-24,2023-02-25,Medium,1
159,95,2023-05-13,,Medium,0
160,96,2023-07-17,2023-07-20,Medium,1
161,96,2023-12-24,2023-12-25,High,1
162,96,2023-11-12,2023-11-26,High,1
163,97,2023-06-21,2023-06-25,Medium,1
164,98,2023-12-03,2023-12-15,Medium,1
165,98,2023-09-15,2023-09-19,Critical,1
166,98,2023-10-07,2023-10-08,Critical,1
167,98,2023-08-12,2023-08-15,Low,1
168,98,2023-06-29,2023-07-02,High,1
169,98,2023-11-21,2023-11-24,Critical,1
170,98,2023-02-13,2023-02-23,Medium,1
171,99,2023-04-10,2023-04-21,High,1
172,99,2023-04-20,2023-04-26,Medium,1
173,99,2023-02-21,2023-02-24,High,1
174,99,2023-11-15,2023-11-20,Medium,1
175,99,2023-11-03,,Critical,0
176,99,2023-12-12,2023-12-13,Low,1
177,100,2023-07-12,2023-07-18,Medium,1
178,102,2023-07-21,2023-07-23,Medium,1
179,103,2023-09-25,,Low,0
180,104,2023-01-05,2023-01-17,High,1
181,104,2023-06-11,2023-06-12,Low,1
182,105,2023-09-21,2023-09-26,Low,1
183,106,2023-08-17,2023-08-23,Low,1
184,108,2023-01-22,2023-01-23,Low,1
185,108,2023-05-14,,High,0
186,109,2023-08-08,,Medium,0
187,110,2023-02-15,2023-02-20,Low,1
188,110,2023-12-21,2024-01-03,High,1
189,112,2023-10-08,2023-10-12,Low,1
190,113,2023-09-19,,Critical,0
191,114,2023-01-20,2023-01-31,Low,1
192,117,2023-02-06,2023-02-14,Critical,1
193,118,2023-05-11,2023-05-20,High,1
194,119,2023-10-31,2023-11-07,Medium,1
195,122,2023-08-08,2023-08-21,Medium,1
196,123,2023-12-10,2023-12-20,High,1
197,123,2023-03-01,2023-03-08,Critical,1
198,126,2023-06-15,2023-06-26,Medium,1
199,127,2023-07-25,2023-08-02,Low,1
200,127,2023-11-28,2023-12-08,Critical,1
201,127,2023-01-19,2023-01-27,Critical,1
202,127,2023-12-11,2023-12-20,Low,1
203,127,2023-05-01,2023-05-09,Medium,1
204,128,2023-09-26,2023-10-04,Medium,1
205,130,2023-09-08,2023-09-17,High,1
206,132,2023-12-30,2024-01-11,High,1
207,132,2023-07-04,2023-07-12,Medium,1
208,132,2023-03-12,2023-03-26,Low,1
209,133,2023-04-28,,High,0
210,135,2023-09-11,2023-09-25,Medium,1
211,135,2023-05-14,2023-05-26,Low,1
212,136,2023-05-01,2023-05-03,Low,1
213,136,2023-06-05,2023-06-06,High,1
214,136,2023-09-08,2023-09-09,Low,1
215,137,2023-01-08,2023-01-15,Medium,1
216,137,2023-07-02,2023-07-05,Low,1
217,138,2023-03-04,2023-03-15,High,1
218,140,2023-08-05,2023-08-19,High,1
219,143,2023-10-10,2023-10-18,Medium,1
220,143,2023-05-18,,High,0
221,145,2023-06-17,2023-06-25,Low,1
222,146,2023-05-27,2023-06-01,Medium,1
223,146,2023-02-22,2023-03-02,Medium,1
224,148,2023-06-03,2023-06-10,Medium,1
225,149,2023-05-17,2023-05-26,High,1
226,150,2023-04-24,,Medium,0
227,150,2023-05-01,,Low,0
228,150,2023-03-06,2023-03-14,Low,1
229,151,2023-08-25,2023-09-04,Low,1
230,151,2023-08-02,2023-08-14,High,1
231,151,2023-03-06,,Medium,0
232,152,2023-04-04,2023-04-14,High,1
233,154,2023-08-24,,Critical,0
234,156,2023-10-23,2023-10-24,Medium,1
235,157,2023-04-17,2023-04-27,High,1
236,157,2023-03-11,2023-03-13,Medium,1
237,158,2023-07-11,2023-07-15,Critical,1
238,158,2023-06-19,2023-06-26,Medium,1
239,158,2023-01-12,2023-01-25,Medium,1
240,159,2023-06-10,2023-06-14,Medium,1
241,159,2023-06-12,2023-06-19,Medium,1
242,160,2023-08-09,,Low,0
243,161,2023-03-01,2023-03-08,Low,1
244,162,2023-05-16,2023-05-21,High,1
245,164,2023-03-01,2023-03-13,Low,1
246,167,2023-02-22,,Critical,0
247,169,2023-01-22,2023-01-30,High,1
248,170,2023-07-05,2023-07-13,Low,1
249,170,2023-01-10,2023-01-16,Low,1
250,171,2023-03-21,2023-03-28,Low,1
251,171,2023-05-14,2023-05-27,Low,1
252,172,2023-12-21,2023-12-22,Medium,1
253,173,2023-02-10,2023-02-23,High,1
254,173,2023-03-07,,Low,0
255,174,2023-01-10,2023-01-19,Low,1
256,175,2023-12-28,2024-01-02,Medium,1
257,175,2023-11-27,2023-12-10,Low,1
258,177,2023-04-30,2023-05-14,Medium,1
259,177,2023-12-26,2024-01-01,High,1
260,177,2023-03-18,,Medium,0
261,177,2023-09-18,,High,0
262,178,2023-12-18,2023-12-21,High,1
263,178,2023-08-01,2023-08-12,Low,1
264,179,2023-07-04,,Low,0
265,179,2023-01-03,2023-01-17,Low,1
266,181,2023-10-10,2023-10-15,Low,1
267,181,2023-10-23,2023-10-24,High,1
268,182,2023-12-25,2024-01-04,Medium,1
269,182,2023-10-11,2023-10-21,High,1
270,182,2023-06-04,2023-06-15,Low,1
271,182,2023-12-24,2024-01-01,Low,1
272,183,2023-06-17,2023-06-24,Low,1
273,184,2023-10-17,2023-10-23,Low,1
274,184,2023-12-10,2023-12-23,High,1
275,186,2023-11-29,2023-11-30,Critical,1
276,186,2023-07-22,2023-08-04,High,1
277,186,2023-07-26,2023-08-05,Low,1
278,187,2023-12-01,2023-12-14,High,1
279,187,2023-08-18,2023-09-01,Low,1
280,187,2023-07-21,2023-08-01,Low,1
281,187,2023-07-23,2023-07-30,High,1
282,187,2023-10-15,2023-10-19,Medium,1
283,188,2023-04-20,2023-04-21,Critical,1
284,188,2023-07-20,2023-08-03,Low,1
285,189,2023-10-23,2023-11-02,Medium,1
286,189,2023-10-14,2023-10-28,Low,1
287,191,2023-04-28,,Low,0
288,191,2023-08-19,2023-08-23,Low,1
289,191,2023-10-31,2023-11-04,High,1
290,191,2023-03-07,2023-03-17,High,1
291,191,2023-03-19,2023-03-24,Medium,1
292,191,2023-09-26,2023-10-09,High,1
293,191,2023-11-01,2023-11-15,Medium,1
294,191,2023-06-13,2023-06-25,Low,1
295,192,2023-02-04,2023-02-18,Critical,1
296,193,2023-11-04,2023-11-07,Low,1
297,193,2023-02-15,2023-02-20,Medium,1
298,193,2023-03-01,2023-03-11,Critical,1
299,195,2023-07-26,2023-07-27,Medium,1
300,195,2023-08-31,2023-09-05,Medium,1
301,195,2023-12-15,,Low,0
302,196,2023-05-31,2023-06-02,High,1
303,196,2023-08-21,2023-08-31,Low,1
304,196,2023-02-03,2023-02-08,Critical,1
305,196,2023-06-20,2023-06-29,High,1
306,196,2023-05-05,2023-05-07,High,1
307,196,2023-08-24,,High,0
308,196,2023-08-21,,Critical,0
309,197,2023-11-21,2023-11-24,Medium,1
310,197,2023-04-11,2023-04-17,Medium,1
311,198,2023-05-01,2023-05-03,Medium,1
312,198,2023-07-14,2023-07-28,Low,1
313,199,2023-11-20,2023-11-30,High,1
314,199,2023-11-28,2023-11-30,Low,1
315,199,2023-11-11,2023-11-17,Medium,1
316,199,2023-04-27,2023-04-29,Critical,1
317,199,2023-09-11,2023-09-16,Medium,1
318,199,2023-02-02,2023-02-03,High,1
319,199,2023-11-30,2023-12-06,Critical,1
320,199,2023-08-08,2023-08-10,Critical,1
321,199,2023-08-04,2023-08-18,Critical,1
322,199,2023-01-09,2023-01-15,High,1
323,200,2023-09-15,2023-09-18,Low,1
324,201,2023-04-28,2023-05-12,Low,1
325,201,2023-09-16,2023-09-18,Medium,1
326,201,2023-05-25,2023-06-01,High,1
327,201,2023-06-01,2023-06-02,Critical,1
328,201,2023-02-28,2023-03-10,High,1
329,201,2023-03-23,2023-04-02,Critical,1
330,201,2023-06-01,2023-06-04,Medium,1
331,202,2023-12-11,2023-12-25,Low,1
332,202,2023-08-13,2023-08-25,Low,1
333,203,2023-05-19,2023-05-23,Critical,1
334,203,2023-11-02,,Low,0
335,203,2023-07-07,2023-07-10,Medium,1
336,203,2023-05-25,2023-05-30,Medium,1
337,203,2023-08-19,2023-08-28,Low,1
338,203,2023-09-04,2023-09-06,Low,1
339,203,2023-09-09,,Low,0
340,203,2023-06-12,2023-06-25,Critical,1
341,204,2023-02-24,,Medium,0
342,204,2023-07-08,2023-07-09,High,1
343,204,2023-11-18,2023-11-19,Low,1
344,205,2023-10-28,2023-11-03,Medium,1
345,206,2023-01-18,,Medium,0
346,206,2023-07-11,2023-07-19,Low,1
347,206,2023-09-18,2023-09-22,Critical,1
348,206,2023-09-10,2023-09-11,Medium,1
349,207,2023-04-29,2023-05-01,Low,1
350,209,2023-02-18,2023-02-23,Low,1
351,211,2023-12-15,2023-12-21,Low,1
352,213,2023-12-27,2024-01-03,Medium,1
353,213,2023-10-17,2023-10-23,High,1
354,213,2023-08-18,2023-09-01,Medium,1
355,216,2023-01-24,2023-01-27,High,1
356,217,2023-01-12,2023-01-14,Low,1
357,217,2023-02-09,2023-02-11,Medium,1
358,217,2023-11-02,2023-11-07,Critical,1
359,218,2023-07-30,2023-08-08,Medium,1
360,218,2023-01-23,2023-01-28,Medium,1
361,218,2023-06-14,2023-06-16,Medium,1
362,219,2023-09-15,2023-09-24,Low,1
363,221,2023-02-24,,Medium,0
364,221,2023-11-05,2023-11-17,High,1
365,221,2023-08-14,2023-08-21,Medium,1
366,221,2023-07-25,2023-07-28,High,1
367,221,2023-07-29,2023-08-09,Medium,1
368,221,2023-05-03,2023-05-06,High,1
369,221,2023-12-18,2023-12-19,Medium,1
370,221,2023-07-06,2023-07-15,High,1
371,222,2023-05-21,,Medium,0
372,223,2023-04-13,,Medium,0
373,224,2023-07-04,2023-07-14,Critical,1
374,224,2023-10-04,2023-10-05,High,1
375,224,2023-07-04,2023-07-07,Medium,1
376,224,2023-12-19,,Critical,0
377,224,2023-02-06,2023-02-13,High,1
378,224,2023-01-13,2023-01-20,Medium,1
379,224,2023-05-13,2023-05-21,Critical,1
380,226,2023-07-02,2023-07-14,Critical,1
381,226,2023-08-16,,Low,0
382,226,2023-12-10,2023-12-17,Low,1
383,229,2023-04-07,2023-04-19,High,1
384,230,2023-01-01,,Low,0
385,230,2023-10-13,2023-10-17,Critical,1
386,231,2023-06-30,2023-07-03,Low,1
387,231,2023-03-25,2023-04-05,Medium,1
388,232,2023-02-07,2023-02-21,High,1
389,232,2023-08-29,2023-09-09,Medium,1
390,232,2023-01-05,2023-01-18,Medium,1
391,232,2023-03-03,2023-03-08,High,1
392,232,2023-06-22,2023-06-24,Low,1
393,232,2023-06-15,2023-06-20,High,1
394,232,2023-07-10,2023-07-21,Critical,1
395,233,2023-01-09,2023-01-12,Low,1
396,234,2023-12-05,,Medium,0
397,234,2023-08-06,2023-08-08,High,1
398,236,2023-03-26,2023-04-02,Medium,1
399,236,2023-11-21,,Medium,0
400,237,2023-11-30,2023-12-01,Low,1
401,237,2023-04-28,2023-05-03,Medium,1
402,238,2023-05-01,2023-05-03,Low,1
403,238,2023-12-07,2023-12-08,Medium,1
404,238,2023-09-11,2023-09-25,Low,1
405,238,2023-10-06,,Critical,0
406,238,2023-10-10,2023-10-20,Medium,1
407,239,2023-09-27,2023-10-04,High,1
408,239,2023-09-14,,High,0
409,239,2023-07-25,2023-07-27,Medium,1
410,241,2023-01-14,2023-01-15,Critical,1
411,242,2023-01-05,,Low,0
412,243,2023-04-18,2023-04-29,Low,1
413,244,2023-01-19,2023-01-25,Low,1
414,244,2023-09-03,2023-09-10,Low,1
415,244,2023-12-14,2023-12-23,Low,1
416,244,2023-11-09,2023-11-13,Low,1
417,245,2023-05-06,2023-05-20,Medium,1
418,246,2023-06-02,2023-06-11,Low,1
419,248,2023-02-28,2023-03-02,Medium,1
420,248,2023-07-31,2023-08-02,Critical,1
421,248,2023-04-28,,Critical,0
422,249,2023-05-11,,Medium,0
423,250,2023-02-07,2023-02-19,Medium,1
424,251,2023-05-27,,Medium,0
425,251,2023-03-03,,High,0
426,252,2023-03-02,2023-03-09,Low,1
427,254,2023-04-25,2023-04-30,Low,1
428,254,2023-08-28,2023-09-04,High,1
429,254,2023-12-19,2023-12-28,High,1
430,254,2023-11-17,,Low,0
431,254,2023-07-16,2023-07-26,High,1
432,254,2023-11-28,2023-12-11,Low,1
433,254,2023-06-20,2023-06-27,High,1
434,254,2023-08-07,2023-08-16,Critical,1
435,255,2023-06-29,2023-07-08,Medium,1
436,255,2023-09-24,2023-10-06,Low,1
437,256,2023-04-02,2023-04-12,High,1
438,257,2023-05-10,2023-05-11,Medium,1
439,258,2023-08-06,2023-08-09,Medium,1
440,258,2023-09-08,2023-09-15,Low,1
441,260,2023-03-04,2023-03-17,Medium,1
442,260,2023-10-28,2023-11-06,Medium,1
443,260,2023-01-18,,Low,0
444,260,2023-11-09,2023-11-14,Medium,1
445,262,2023-10-29,2023-11-05,Medium,1
446,262,2023-05-16,,Low,0
447,262,2023-10-24,2023-11-02,Low,1
448,264,2023-03-11,,Medium,0
449,265,2023-10-07,2023-10-19,High,1
450,267,2023-04-08,,Medium,0
451,267,2023-07-30,2023-08-07,Low,1
452,267,2023-08-24,2023-09-07,Low,1
453,267,2023-04-21,2023-05-02,Low,1
454,269,2023-01-10,2023-01-17,Low,1
455,269,2023-08-10,2023-08-20,Critical,1
456,270,2023-01-28,2023-02-04,Low,1
457,271,2023-10-23,2023-11-06,High,1
458,271,2023-12-01,2023-12-12,Low,1
459,272,2023-06-08,2023-06-15,Low,1
460,273,2023-07-16,2023-07-25,High,1
461,275,2023-11-18,2023-11-28,High,1
462,275,2023-11-04,2023-11-16,Low,1
463,275,2023-03-27,2023-03-28,Critical,1
464,275,2023-09-22,,Low,0
465,275,2023-01-24,2023-01-27,High,1
466,276,2023-09-10,2023-09-11,Low,1
467,279,2023-08-28,2023-09-08,Medium,1
468,279,2023-05-13,2023-05-17,Low,1
469,282,2023-03-20,,Low,0
470,283,2023-09-14,2023-09-18,Medium,1
471,284,2023-08-09,2023-08-17,Medium,1
472,284,2023-01-12,,High,0
473,285,2023-11-05,2023-11-17,Medium,1
474,287,2023-06-26,2023-07-01,High,1
475,288,2023-01-26,2023-02-04,Medium,1
476,288,2023-02-20,2023-03-03,Medium,1
477,289,2023-02-19,2023-02-21,Critical,1
478,289,2023-10-17,2023-10-19,High,1
479,289,2023-12-06,2023-12-09,High,1
480,289,2023-04-09,,Low,0
481,289,2023-02-09,2023-02-20,Medium,1
482,289,2023-11-02,2023-11-13,Medium,1
483,290,2023-07-08,2023-07-09,Low,1
484,290,2023-05-22,2023-05-28,High,1
485,290,2023-01-11,2023-01-25,High,1
486,292,2023-11-20,2023-12-01,Low,1
487,292,2023-02-09,2023-02-23,Low,1
488,292,2023-12-25,2023-12-27,Low,1
489,293,2023-08-25,2023-09-08,Medium,1
490,294,2023-01-20,2023-01-27,Low,1
491,294,2023-02-07,2023-02-14,Medium,1
492,295,2023-09-24,2023-10-05,Low,1
493,297,2023-03-18,2023-03-24,Low,1
494,297,2023-03-08,2023-03-18,Critical,1
495,297,2023-06-21,2023-07-05,Low,1
496,297,2023-10-20,2023-10-30,Medium,1
497,297,2023-10-05,2023-10-14,Low,1
498,297,2023-08-16,,High,0
499,301,2023-05-30,2023-06-09,Medium,1
500,302,2023-07-16,2023-07-24,Medium,1
501,302,2023-04-24,2023-04-25,High,1
502,302,2023-12-05,2023-12-10,Medium,1
503,302,2023-07-13,2023-07-22,Critical,1
504,302,2023-02-02,2023-02-15,High,1
505,303,2023-03-29,2023-03-31,Medium,1
506,303,2023-06-26,2023-07-08,High,1
507,304,2023-08-09,,Medium,0
508,304,2023-07-28,2023-08-04,Medium,1
509,306,2023-05-16,2023-05-28,Medium,1
510,306,2023-06-04,2023-06-16,Medium,1
511,306,2023-02-27,2023-03-13,Low,1
512,307,2023-11-09,2023-11-20,Medium,1
513,308,2023-05-10,2023-05-22,Medium,1
514,309,2023-10-08,2023-10-11,High,1
515,309,2023-04-24,,High,0
516,309,2023-07-18,,Medium,0
517,309,2023-12-10,2023-12-16,Low,1
518,309,2023-09-22,2023-09-30,High,1
519,309,2023-12-03,2023-12-12,Low,1
520,310,2023-04-26,2023-05-08,High,1
521,310,2023-04-18,2023-04-19,High,1
522,311,2023-03-12,2023-03-14,Medium,1
523,311,2023-09-08,2023-09-20,Medium,1
524,311,2023-08-15,2023-08-29,Medium,1
525,311,2023-01-30,2023-02-04,Critical,1
526,313,2023-07-16,,Medium,0
527,313,2023-04-01,2023-04-14,Low,1
528,314,2023-09-16,,Low,0
529,314,2023-07-31,2023-08-08,Low,1
530,315,2023-07-27,2023-08-04,Medium,1
531,315,2023-08-15,,High,0
532,315,2023-01-01,2023-01-15,High,1
533,315,2023-11-19,2023-11-23,Medium,1
534,316,2023-11-29,2023-12-02,High,1
535,317,2023-05-24,2023-06-07,Medium,1
536,318,2023-05-17,2023-05-31,Low,1
537,320,2023-03-03,2023-03-09,High,1
538,321,2023-12-13,2023-12-21,Medium,1
539,321,2023-07-09,2023-07-18,Critical,1
540,321,2023-04-15,2023-04-28,High,1
541,322,2023-01-25,2023-02-04,Medium,1
542,324,2023-12-14,2023-12-27,Medium,1
543,324,2023-05-08,2023-05-12,High,1
544,324,2023-04-15,2023-04-24,Medium,1
545,324,2023-07-29,2023-08-01,Low,1
546,325,2023-03-01,2023-03-02,Low,1
547,326,2023-05-12,2023-05-15,Medium,1
548,327,2023-01-20,2023-01-22,Low,1
549,327,2023-10-10,2023-10-24,Medium,1
550,328,2023-10-30,2023-11-11,Low,1
551,329,2023-05-15,2023-05-29,High,1
552,329,2023-07-28,2023-07-29,High,1
553,329,2023-09-19,2023-09-21,High,1
554,330,2023-10-27,2023-11-05,Medium,1
555,330,2023-10-16,2023-10-21,High,1
556,330,2023-06-01,2023-06-08,Medium,1
557,330,2023-08-18,2023-08-29,Critical,1
558,332,2023-08-20,2023-08-21,Medium,1
559,333,2023-06-21,2023-06-29,Low,1
560,334,2023-12-14,2023-12-25,High,1
561,335,2023-10-03,2023-10-05,Medium,1
562,337,2023-06-02,2023-06-05,Medium,1
563,340,2023-08-05,,Low,0
564,340,2023-03-03,,Low,0
565,340,2023-07-24,2023-08-04,Medium,1
566,342,2023-08-18,2023-08-19,Medium,1
567,342,2023-10-08,2023-10-12,Low,1
568,342,2023-12-07,2023-12-10,High,1
569,342,2023-01-22,2023-02-03,Medium,1
570,342,2023-01-24,2023-02-04,Medium,1
571,343,2023-07-10,,Medium,0
572,344,2023-06-06,,Low,0
573,344,2023-12-20,,Low,0
574,344,2023-08-05,2023-08-18,Low,1
575,345,2023-06-20,,Medium,0
576,346,2023-08-03,2023-08-13,Medium,1
577,348,2023-07-11,2023-07-12,Low,1
578,349,2023-01-15,2023-01-16,Medium,1
579,349,2023-09-22,2023-10-02,Critical,1
580,349,2023-02-28,2023-03-02,Critical,1
581,349,2023-03-07,2023-03-11,Low,1
582,350,2023-09-29,2023-10-13,Medium,1
583,350,2023-02-19,2023-03-05,Medium,1
584,350,2023-10-13,2023-10-24,Medium,1
585,351,2023-04-01,2023-04-05,Critical,1
586,351,2023-10-03,2023-10-15,High,1
587,351,2023-04-02,2023-04-13,Medium,1
588,351,2023-12-09,2023-12-20,High,1
589,351,2023-04-16,2023-04-26,Critical,1
590,351,2023-06-06,2023-06-16,Medium,1
591,351,2023-12-24,2023-12-25,Critical,1
592,352,2023-03-24,2023-03-26,High,1
593,352,2023-03-20,2023-03-25,Critical,1
594,352,2023-03-17,2023-03-25,High,1
595,352,2023-10-23,2023-11-02,High,1
596,352,2023-03-18,2023-03-28,Low,1
597,353,2023-05-29,2023-05-31,Critical,1
598,353,2023-02-27,2023-03-04,Low,1
599,353,2023-11-02,2023-11-11,Critical,1
600,353,2023-01-27,2023-02-03,Medium,1
601,353,2023-08-22,2023-08-28,Critical,1
602,354,2023-11-06,,Low,0
603,354,2023-06-03,2023-06-15,Low,1
604,356,2023-06-07,2023-06-13,Low,1
605,356,2023-08-29,2023-09-03,Low,1
606,356,2023-12-05,2023-12-08,High,1
607,356,2023-12-27,,High,0
608,357,2023-05-19,2023-05-28,Critical,1
609,357,2023-01-23,2023-02-05,High,1
610,357,2023-08-27,2023-09-06,Critical,1
611,358,2023-01-05,2023-01-15,Low,1
612,358,2023-08-03,2023-08-10,Medium,1
613,358,2023-09-04,,Medium,0
614,358,2023-03-04,2023-03-10,Low,1
615,359,2023-03-06,2023-03-17,Medium,1
616,360,2023-03-20,2023-03-24,Medium,1
617,361,2023-06-27,2023-07-06,Low,1
618,361,2023-03-08,2023-03-15,High,1
619,361,2023-03-15,2023-03-29,Medium,1
620,362,2023-11-05,2023-11-06,Low,1
621,364,2023-11-04,2023-11-10,Low,1
622,364,2023-11-05,2023-11-07,Medium,1
623,365,2023-01-02,2023-01-07,High,1
624,366,2023-09-12,2023-09-14,Low,1
