contract_id,customer_id,product_id,contract_type,start_date,end_date,monthly_charges,total_charges,payment_method,auto_renewal,churned,churn_date
47,47,5,Annual,2021-09-03,2025-02-14,11.41,479.22,Net Banking,1,0,
48,48,2,Monthly,2020-07-29,2023-05-15,81.45,2769.3,Net Banking,1,0,
49,49,2,Annual,2022-09-07,2023-12-31,76.69,1227.04,Bank Transfer,1,0,
50,50,1,Annual,2022-03-25,2025-04-08,34.41,1273.17,Debit Card,1,0,
51,51,5,Monthly,2020-02-16,2020-09-13,9.73,68.11,UPI,1,0,
52,52,5,Monthly,2021-12-25,2024-04-13,10.61,297.08,Net Banking,1,0,
53,53,5,Annual,2023-02-13,2026-10-25,9.08,408.6,Credit Card,1,0,
54,54,3,Annual,2021-05-13,2023-08-01,193.33,5219.91,Debit Card,0,0,
55,55,3,Annual,2023-05-02,2026-04-16,191.57,6896.52,Debit Card,1,0,
56,56,5,Annual,2021-09-12,2025-03-25,11.64,500.52,Bank Transfer,1,0,
57,57,2,Monthly,2020-12-31,2024-07-13,100.69,4329.67,UPI,1,0,
58,58,5,Monthly,2020-04-29,2022-03-20,12.83,295.09,Debit Card,1,1,2022-03-20
59,59,2,Annual,2021-01-21,2024-05-05,85.88,3435.2,Debit Card,0,0,
60,60,5,Annual,2022-11-30,2026-01-13,12.04,457.52,UPI,1,1,2023-05-29
61,61,1,Annual,2020-05-09,2022-05-29,33.86,846.5,Debit Card,1,0,
62,62,1,Monthly,2021-06-02,2024-05-17,32.77,1179.72,Debit Card,1,0,
63,63,4,Monthly,2020-02-10,2022-11-26,410.18,13946.12,Credit Card,1,0,
64,64,1,Annual,2022-07-06,2023-07-31,36.31,472.03,Bank Transfer,1,0,
65,65,2,Annual,2023-02-26,2025-11-12,80.69,2662.77,Debit Card,1,0,
66,66,1,Annual,2023-01-08,2024-04-02,27.0,405.0,Bank Transfer,1,0,
67,67,1,Annual,2022-09-21,2024-10-10,27.74,693.5,Net Banking,0,0,
68,68,4,Annual,2020-08-08,2021-09-02,372.0,4836.0,UPI,1,0,
69,69,1,Monthly,2022-07-03,2022-10-31,38.33,153.32,UPI,1,1,2022-08-02
70,70,4,Annual,2023-05-05,2026-09-16,457.03,18738.23,Net Banking,1,0,
71,71,2,Annual,2020-11-20,2021-11-15,99.6,1195.2,Net Banking,1,0,
72,72,1,Annual,2023-04-20,2026-09-01,28.71,1177.11,UPI,1,0,
73,73,1,Annual,2023-05-27,2023-07-26,37.74,75.48,Net Banking,1,0,
74,74,3,Monthly,2023-02-06,2023-06-06,177.85,711.4,Net Banking,1,1,2023-06-06
75,75,3,Monthly,2022-04-12,2025-06-25,143.22,5585.58,Net Banking,0,0,
76,76,3,Annual,2020-05-24,2022-06-13,190.37,4759.25,Bank Transfer,1,0,
77,77,2,Monthly,2021-11-22,2023-04-16,72.72,1236.24,UPI,1,0,
78,78,1,Monthly,2022-11-26,2023-12-21,29.37,381.81,Debit Card,1,1,2023-05-25
79,79,2,Annual,2020-07-12,2024-04-22,101.77,4681.42,Net Banking,0,0,
80,80,3,Monthly,2020-01-25,2022-07-13,167.67,5030.1,Debit Card,0,1,2021-11-15
81,81,2,Monthly,2022-04-24,2022-10-21,91.28,547.68,Net Banking,0,1,2022-06-23
82,82,1,Annual,2021-12-06,2025-06-18,30.8,1324.4,UPI,1,0,
83,83,1,Annual,2022-01-14,2022-09-11,29.27,234.16,Bank Transfer,1,0,
84,84,3,Annual,2021-12-19,2023-08-11,150.87,3017.4,Bank Transfer,0,0,
85,85,3,Annual,2022-01-04,2022-05-04,143.44,573.76,Credit Card,1,0,
86,86,2,Annual,2023-04-07,2024-09-28,81.1,1459.8,UPI,0,0,
87,87,3,Monthly,2022-05-28,2024-07-16,163.21,4243.46,Net Banking,0,1,2024-05-17
88,88,1,Annual,2021-07-23,2025-02-02,33.15,1425.45,Debit Card,1,0,
89,89,1,Monthly,2021-11-25,2024-07-12,37.72,1207.04,Credit Card,1,0,
90,90,4,Monthly,2020-04-18,2021-09-10,443.1,7532.7,Bank Transfer,1,1,2021-03-14
91,91,5,Annual,2021-11-26,2025-10-06,11.74,551.78,Debit Card,1,0,
92,92,3,Annual,2023-06-26,2024-10-18,187.59,3001.44,UPI,1,1,2024-08-19
93,93,1,Monthly,2021-12-29,2023-10-20,29.74,654.28,Credit Card,1,0,
94,94,3,Annual,2020-01-29,2023-10-10,170.31,7663.95,Credit Card,1,0,
95,95,3,Annual,2020-01-08,2022-07-26,176.99,5486.69,Debit Card,1,0,
96,96,1,Annual,2021-01-15,2023-11-01,36.35,1235.9,UPI,0,0,
97,97,2,Monthly,2022-06-09,2024-06-28,89.29,2232.25,Debit Card,0,0,
98,98,1,Monthly,2021-01-28,2024-06-11,31.18,1278.38,Net Banking,1,1,2023-01-18
99,99,2,Monthly,2022-03-09,2023-12-29,89.24,1963.28,UPI,1,1,2023-04-03
100,100,2,Annual,2020-07-30,2021-05-26,95.43,954.3,Debit Card,1,0,
101,101,5,Monthly,2022-06-06,2025-06-20,9.55,353.35,Bank Transfer,1,0,
102,102,1,Monthly,2020-06-14,2023-05-30,34.08,1226.88,Net Banking,1,0,
103,103,1,Annual,2021-09-19,2024-12-02,33.49,1306.11,Debit Card,1,0,
104,104,1,Monthly,2023-01-02,2023-04-02,37.2,111.6,Debit Card,1,0,
105,105,1,Annual,2020-12-22,2023-04-11,38.69,1083.32,Bank Transfer,1,0,
106,106,3,Annual,2020-10-16,2024-03-29,142.79,5997.18,Bank Transfer,1,0,
107,107,4,Annual,2021-10-23,2024-10-07,460.71,16585.56,Net Banking,1,0,
108,108,1,Annual,2021-03-23,2023-12-08,32.48,1071.84,Net Banking,1,0,
109,109,5,Monthly,2022-05-08,2024-03-28,12.68,291.64,Net Banking,0,0,
110,110,3,Annual,2023-04-19,2025-11-04,146.75,4549.25,Credit Card,1,0,
111,111,3,Annual,2021-05-12,2023-09-29,151.48,4392.92,Credit Card,1,0,
112,112,5,Annual,2023-01-18,2025-09-04,11.43,365.76,Bank Transfer,1,0,
113,113,2,Annual,2021-12-14,2024-04-02,88.17,2468.76,Debit Card,1,1,2022-11-09
114,114,1,Annual,2023-03-04,2026-03-18,29.34,1085.58,Bank Transfer,1,0,
115,115,5,Annual,2023-03-27,2026-11-06,11.09,487.96,Debit Card,1,0,
116,116,1,Annual,2021-05-11,2021-09-08,35.33,141.32,UPI,1,0,
117,117,5,Annual,2020-06-26,2022-07-16,11.9,297.5,Credit Card,1,0,
118,118,2,Monthly,2022-09-09,2026-04-21,75.98,3343.12,UPI,0,0,
119,119,2,Annual,2021-03-23,2022-09-14,80.03,1440.54,Bank Transfer,1,0,
120,120,3,Annual,2021-08-29,2022-09-23,143.41,1864.33,Debit Card,1,0,
121,121,5,Monthly,2023-04-27,2026-09-08,12.79,524.39,UPI,1,0,
122,122,3,Annual,2021-02-25,2022-05-21,186.97,2804.55,Bank Transfer,0,0,
123,123,3,Monthly,2021-08-12,2023-06-03,159.28,3504.16,UPI,0,0,
124,124,2,Monthly,2023-06-28,2026-05-13,96.36,3372.6,Debit Card,1,0,
125,125,1,Annual,2020-03-22,2022-04-11,29.0,725.0,Bank Transfer,1,0,
126,126,3,Monthly,2022-03-03,2025-11-12,148.33,6674.85,UPI,1,0,
127,127,2,Monthly,2021-11-30,2023-02-23,99.52,1492.8,Net Banking,1,1,2022-05-29
128,128,4,Annual,2020-11-04,2021-01-03,512.25,1024.5,Net Banking,1,0,
129,129,1,Annual,2021-09-13,2023-06-05,27.18,570.78,UPI,1,0,
130,130,2,Annual,2020-12-08,2022-03-03,72.23,1083.45,Bank Transfer,1,0,
131,131,2,Annual,2022-02-10,2022-07-10,101.63,508.15,Net Banking,0,0,
132,132,4,Monthly,2020-01-15,2020-05-14,391.85,1567.4,Debit Card,1,1,2020-04-14
133,133,1,Monthly,2021-06-29,2021-12-26,37.05,222.3,UPI,0,1,2021-09-27
134,134,5,Annual,2020-08-15,2021-03-13,10.3,72.1,Debit Card,1,0,
135,135,4,Annual,2020-09-19,2024-01-02,501.76,20070.4,Bank Transfer,1,0,
136,136,5,Monthly,2020-01-15,2021-05-09,12.18,194.88,Credit Card,1,1,2020-10-11
137,137,5,Monthly,2020-08-01,2024-04-12,12.44,559.8,Credit Card,1,0,
138,138,4,Monthly,2020-08-25,2022-07-16,388.36,8932.28,Credit Card,1,0,
139,139,1,Annual,2023-03-15,2025-12-29,32.66,1110.44,Debit Card,0,0,
140,140,1,Annual,2020-11-29,2020-12-29,30.25,30.25,Bank Transfer,0,0,
141,141,1,Annual,2022-09-12,2024-08-02,31.82,731.86,Bank Transfer,1,0,
142,142,2,Annual,2020-10-31,2023-01-19,73.86,1994.22,Bank Transfer,1,0,
143,143,1,Annual,2021-12-03,2024-04-21,33.46,970.34,Debit Card,0,0,
144,144,5,Annual,2022-09-01,2026-06-12,10.34,475.64,UPI,1,0,
145,145,1,Annual,2022-08-06,2025-12-18,31.06,1273.46,UPI,1,0,
146,146,2,Annual,2022-08-10,2024-03-02,77.68,1475.92,Credit Card,0,0,
147,147,2,Monthly,2020-03-08,2023-11-18,85.69,3856.05,Credit Card,1,1,2020-06-06
148,148,3,Monthly,2023-06-08,2024-04-03,183.09,1830.9,Debit Card,1,0,
149,149,3,Monthly,2021-08-05,2022-11-28,142.86,2285.76,Credit Card,1,0,
150,150,4,Annual,2020-03-23,2021-12-13,371.07,7792.47,Credit Card,0,0,
151,151,4,Annual,2022-11-30,2024-01-24,461.34,6458.76,Credit Card,1,0,
152,152,1,Annual,2021-06-02,2023-01-23,30.4,608.0,Net Banking,1,0,
153,153,5,Annual,2022-04-10,2025-07-23,12.97,518.8,Debit Card,1,0,
154,154,3,Annual,2020-05-31,2022-10-18,188.92,5478.68,UPI,1,0,
155,155,4,Annual,2021-04-19,2022-02-13,479.49,4794.9,Debit Card,0,0,
156,156,2,Annual,2021-08-31,2023-03-24,78.68,1494.92,Debit Card,1,0,
157,157,3,Annual,2020-12-18,2021-07-16,179.21,1254.47,Debit Card,0,1,2021-05-17
158,158,2,Monthly,2021-06-29,2024-12-10,72.22,3033.24,Net Banking,1,1,2021-07-29
159,159,5,Monthly,2020-11-01,2023-08-18,9.97,338.98,Bank Transfer,0,1,2023-04-20
160,160,2,Annual,2022-03-08,2022-05-07,89.03,178.06,Credit Card,1,0,
161,161,2,Annual,2022-10-05,2023-09-30,97.17,1166.04,UPI,1,0,
162,162,4,Annual,2020-07-17,2024-06-26,515.71,24754.08,Debit Card,1,0,
163,163,3,Annual,2020-04-27,2021-02-21,186.75,1867.5,Bank Transfer,1,0,
164,164,2,Monthly,2022-12-09,2025-08-25,98.12,3237.96,Net Banking,1,0,
165,165,2,Annual,2023-03-25,2024-07-17,95.33,1525.28,Debit Card,1,0,
166,166,2,Annual,2022-01-28,2022-09-25,92.64,741.12,Debit Card,0,0,
167,167,1,Monthly,2020-01-23,2022-06-11,36.43,1056.47,Bank Transfer,1,0,
168,168,5,Monthly,2023-05-21,2023-07-20,10.29,20.58,Bank Transfer,0,0,
169,169,4,Annual,2023-06-16,2024-08-09,478.55,6699.7,Net Banking,1,0,
170,170,2,Annual,2020-12-26,2024-07-08,99.31,4270.33,Bank Transfer,0,0,
171,171,5,Annual,2022-08-12,2023-06-08,9.94,99.4,Debit Card,0,0,
172,172,2,Annual,2020-06-18,2023-05-04,78.49,2747.15,Net Banking,1,0,
173,173,1,Monthly,2022-05-28,2025-01-12,35.69,1142.08,Net Banking,1,0,
174,174,5,Monthly,2022-11-14,2023-10-10,12.22,134.42,Bank Transfer,0,0,
175,175,1,Annual,2022-08-13,2024-01-05,37.37,635.29,Net Banking,1,0,
176,176,5,Annual,2022-09-13,2026-06-24,11.89,546.94,Bank Transfer,0,0,
177,177,3,Annual,2020-08-19,2020-09-18,146.2,146.2,Credit Card,0,1,2020-09-18
178,178,3,Monthly,2022-04-30,2025-11-10,189.05,8129.15,Net Banking,1,0,
179,179,1,Monthly,2021-05-16,2022-07-10,32.87,460.18,Bank Transfer,1,0,
180,180,3,Annual,2020-07-22,2023-05-08,149.57,5085.38,Credit Card,0,0,
181,181,2,Monthly,2022-05-19,2024-05-08,84.7,2032.8,Bank Transfer,1,0,
182,182,2,Monthly,2021-06-08,2022-06-03,73.2,878.4,Net Banking,0,0,
183,183,4,Annual,2023-05-17,2026-12-27,501.56,22068.64,Bank Transfer,1,0,
184,184,5,Annual,2021-05-29,2023-04-19,11.72,269.56,UPI,1,0,
185,185,5,Annual,2022-12-05,2024-10-25,9.73,223.79,Credit Card,1,0,
186,186,5,Monthly,2022-04-01,2023-04-26,9.06,117.78,Net Banking,1,1,2023-02-25
187,187,1,Monthly,2022-07-13,2025-07-27,37.25,1378.25,Credit Card,1,1,2024-06-02
188,188,2,Monthly,2022-06-18,2023-08-12,99.89,1398.46,Credit Card,1,0,
189,189,2,Monthly,2022-12-19,2023-10-15,92.56,925.6,Bank Transfer,0,0,
190,190,3,Annual,2021-11-22,2025-06-04,136.43,5866.49,Bank Transfer,1,0,
191,191,3,Monthly,2023-01-30,2023-05-30,171.71,686.84,Net Banking,0,1,2023-05-30
192,192,3,Monthly,2022-06-06,2023-07-31,176.19,2466.66,Credit Card,1,0,
193,193,3,Monthly,2020-09-09,2022-10-29,137.9,3585.4,Debit Card,0,1,2021-03-08
194,194,2,Monthly,2021-05-19,2024-12-29,101.55,4468.2,Debit Card,1,0,
195,195,4,Monthly,2021-02-08,2021-10-06,456.92,3655.36,Credit Card,1,1,2021-09-06
196,196,4,Annual,2021-10-14,2022-05-12,380.71,2664.97,Credit Card,0,1,2022-02-11
197,197,3,Monthly,2021-04-13,2025-02-21,155.57,7311.79,Net Banking,1,0,
198,198,4,Monthly,2022-08-27,2023-09-21,508.06,6604.78,UPI,1,1,2023-06-23
199,199,2,Monthly,2020-11-14,2023-03-04,84.16,2356.48,Debit Card,0,1,2022-02-07
200,200,1,Annual,2022-03-13,2024-12-27,28.23,959.82,Credit Card,1,0,
201,201,3,Monthly,2021-12-19,2023-07-12,136.35,2590.65,Bank Transfer,1,1,2022-05-18
202,202,1,Annual,2021-08-06,2021-09-05,33.91,33.91,Bank Transfer,1,1,2021-09-05
203,203,1,Annual,2021-11-29,2022-08-26,27.2,244.8,UPI,1,1,2022-05-28
204,204,3,Annual,2020-10-17,2021-03-16,183.62,918.1,Debit Card,1,1,2021-03-16
205,205,4,Annual,2020-12-13,2022-11-03,380.5,8751.5,Credit Card,1,0,
206,206,3,Monthly,2022-03-03,2023-05-27,193.12,2896.8,Net Banking,0,1,2023-05-27
207,207,2,Annual,2021-01-09,2023-12-25,82.44,2967.84,Debit Card,1,0,
208,208,4,Monthly,2021-08-20,2021-10-19,401.49,802.98,Debit Card,0,0,
209,209,2,Monthly,2023-01-14,2023-11-10,103.67,1036.7,UPI,1,0,
210,210,5,Annual,2022-01-19,2022-12-15,10.91,120.01,Debit Card,1,0,
211,211,5,Annual,2020-11-07,2024-02-20,9.24,369.6,Net Banking,1,0,
212,212,3,Annual,2021-11-28,2025-01-11,136.33,5180.54,UPI,0,1,2024-09-13
213,213,4,Monthly,2020-06-30,2022-04-21,411.1,9044.2,Credit Card,1,1,2021-02-25
214,214,4,Annual,2022-03-18,2022-06-16,399.94,1199.82,Net Banking,0,0,
215,215,3,Annual,2021-04-10,2024-04-24,189.84,7024.08,UPI,1,0,
216,216,2,Annual,2022-11-11,2023-04-10,83.86,419.3,UPI,1,0,
217,217,1,Annual,2022-07-31,2024-02-21,32.09,609.71,Net Banking,0,1,2022-11-28
218,218,2,Monthly,2020-03-04,2021-07-27,86.77,1475.09,Credit Card,0,1,2020-07-02
219,219,4,Annual,2022-12-24,2023-08-21,366.19,2929.52,Net Banking,0,0,
220,220,3,Annual,2021-04-23,2022-07-17,141.01,2115.15,Credit Card,1,0,
221,221,5,Annual,2020-06-21,2021-05-17,10.68,117.48,Credit Card,0,1,2021-05-17
222,222,4,Annual,2021-12-19,2024-05-07,377.17,10937.93,Credit Card,1,0,
223,223,3,Annual,2021-09-04,2025-06-15,138.64,6377.44,Net Banking,0,0,
224,224,5,Annual,2022-05-09,2022-12-05,9.98,69.86,Credit Card,1,1,2022-06-08
225,225,1,Annual,2023-06-24,2025-06-13,38.63,927.12,Debit Card,1,0,
226,226,1,Annual,2021-10-21,2022-10-16,28.36,340.32,Net Banking,0,1,2022-01-19
227,227,3,Annual,2022-01-27,2024-12-12,186.55,6529.25,Net Banking,1,0,
228,228,5,Annual,2020-01-26,2021-06-19,10.97,186.49,UPI,0,0,
229,229,4,Monthly,2020-05-03,2023-11-14,488.57,21008.51,Debit Card,1,0,
230,230,1,Annual,2022-08-18,2024-01-10,37.05,629.85,Debit Card,1,0,
231,231,1,Monthly,2021-10-10,2023-08-31,34.01,782.23,Net Banking,1,0,
232,232,3,Monthly,2021-10-07,2022-01-05,138.45,415.35,Credit Card,0,1,2021-12-06
233,233,1,Annual,2023-03-23,2026-08-04,34.06,1396.46,Credit Card,1,0,
234,234,3,Annual,2020-12-21,2024-02-04,164.13,6236.94,Credit Card,1,0,
235,235,1,Monthly,2021-04-18,2025-03-28,34.85,1672.8,Bank Transfer,1,0,
236,236,2,Monthly,2022-01-09,2025-10-20,90.0,4140.0,UPI,1,0,
237,237,3,Annual,2021-08-18,2021-09-17,153.89,153.89,UPI,1,0,
238,238,3,Monthly,2021-09-14,2021-12-13,150.32,450.96,Bank Transfer,1,1,2021-11-13
239,239,3,Annual,2020-11-05,2023-06-23,190.74,6103.68,Net Banking,1,0,
240,240,2,Monthly,2022-03-16,2025-08-27,74.07,3110.94,Credit Card,1,0,
241,241,5,Annual,2021-02-25,2023-03-17,11.4,285.0,Net Banking,1,1,2021-06-25
242,242,4,Monthly,2021-03-15,2022-05-09,437.58,6126.12,Bank Transfer,1,0,
243,243,4,Annual,2023-02-28,2024-06-22,397.32,6357.12,Debit Card,0,0,
244,244,3,Monthly,2020-02-14,2024-01-24,176.32,8463.36,UPI,1,0,
245,245,5,Annual,2021-04-23,2024-05-07,12.64,467.68,Credit Card,1,0,
246,246,3,Monthly,2023-04-10,2027-01-19,184.34,8479.64,Debit Card,0,0,
247,247,4,Monthly,2020-08-08,2021-10-02,434.75,6086.5,Bank Transfer,1,0,
248,248,5,Monthly,2023-06-13,2024-01-09,9.35,65.45,Credit Card,0,1,2023-12-10
249,249,4,Annual,2022-09-07,2023-04-05,495.93,3471.51,Credit Card,1,0,
250,250,4,Monthly,2021-06-12,2023-06-02,469.48,11267.52,Bank Transfer,1,0,
251,251,4,Annual,2023-05-23,2026-07-06,431.76,16406.88,Net Banking,0,0,
252,252,2,Monthly,2020-12-11,2024-10-21,98.75,4641.25,UPI,1,0,
253,253,3,Annual,2020-05-15,2020-07-14,183.91,367.82,Net Banking,1,0,
254,254,4,Annual,2022-02-05,2023-09-28,445.61,8912.2,UPI,0,1,2023-06-30
255,255,1,Annual,2023-01-01,2026-12-11,38.11,1829.28,Bank Transfer,1,0,
256,256,4,Annual,2021-07-15,2023-12-02,509.19,14766.51,Credit Card,1,0,
257,257,2,Annual,2020-12-21,2023-11-06,73.49,2572.15,Credit Card,1,0,
258,258,1,Monthly,2022-07-02,2023-07-27,31.55,410.15,Credit Card,0,0,
259,259,4,Monthly,2020-08-17,2021-07-13,441.73,4859.03,UPI,1,0,
260,260,4,Monthly,2022-12-25,2026-03-09,467.25,18222.75,Net Banking,1,0,
261,261,4,Annual,2021-04-18,2024-06-01,510.91,19414.58,Credit Card,1,0,
262,262,5,Annual,2021-12-30,2022-03-30,11.34,34.02,Credit Card,0,1,2022-03-30
263,263,4,Annual,2021-08-07,2022-04-04,416.73,3333.84,Debit Card,0,0,
264,264,3,Monthly,2023-05-22,2026-01-06,152.04,4865.28,Bank Transfer,1,0,
265,265,5,Monthly,2020-01-06,2021-10-27,11.88,261.36,Net Banking,1,0,
266,266,1,Annual,2022-04-12,2025-10-23,35.03,1506.29,Credit Card,1,0,
267,267,4,Annual,2023-03-01,2025-05-19,472.31,12752.37,Net Banking,0,0,
268,268,4,Annual,2021-09-30,2023-01-23,475.24,7603.84,UPI,1,0,
269,269,3,Annual,2020-12-17,2023-09-03,153.73,5073.09,Bank Transfer,0,1,2022-10-08
270,270,5,Monthly,2023-04-20,2025-05-09,9.56,239.0,Debit Card,1,0,
271,271,3,Annual,2021-11-21,2023-05-15,167.55,3015.9,Bank Transfer,0,0,
272,272,3,Monthly,2021-01-22,2022-07-16,167.07,3007.26,Bank Transfer,1,0,
273,273,1,Monthly,2020-10-07,2023-01-25,28.64,801.92,Bank Transfer,0,0,
274,274,2,Annual,2021-09-04,2024-11-17,90.41,3525.99,Credit Card,1,0,
275,275,1,Monthly,2022-10-08,2024-05-30,27.88,557.6,Debit Card,1,1,2023-10-03
276,276,1,Annual,2020-11-18,2024-04-01,36.77,1507.57,Net Banking,1,0,
277,277,3,Monthly,2022-10-17,2024-01-10,147.79,2216.85,UPI,1,0,
278,278,4,Monthly,2020-05-20,2021-09-12,367.0,5872.0,Credit Card,0,0,
279,279,4,Annual,2023-03-22,2025-01-10,484.75,10664.5,UPI,1,0,
280,280,1,Annual,2021-10-26,2023-06-18,32.94,658.8,Net Banking,0,0,
281,281,5,Annual,2022-08-27,2026-02-07,9.12,383.04,Credit Card,0,0,
282,282,2,Annual,2020-07-15,2022-10-03,84.86,2291.22,Net Banking,0,0,
283,283,3,Monthly,2020-11-03,2023-08-20,142.6,4848.4,Bank Transfer,0,0,
284,284,2,Monthly,2020-10-15,2023-08-31,89.3,3125.5,Net Banking,1,1,2023-04-03
285,285,4,Annual,2020-09-16,2021-07-13,375.49,3754.9,Bank Transfer,0,0,
286,286,4,Monthly,2022-10-29,2024-01-22,494.35,7415.25,Net Banking,1,0,
287,287,3,Annual,2022-05-19,2025-04-03,160.32,5611.2,Debit Card,1,0,
288,288,5,Annual,2022-05-09,2024-06-27,11.77,306.02,Bank Transfer,1,0,
289,289,2,Annual,2023-04-18,2026-05-02,81.98,3033.26,UPI,1,1,2024-09-09
290,290,4,Annual,2022-12-15,2026-06-27,367.88,15818.84,Bank Transfer,0,0,
291,291,4,Monthly,2020-03-23,2020-07-21,495.16,1980.64,Debit Card,1,0,
292,292,1,Annual,2022-12-03,2026-08-14,27.52,1238.4,Net Banking,0,0,
293,293,2,Monthly,2020-04-06,2021-06-30,98.63,1479.45,Net Banking,1,0,
294,294,5,Monthly,2021-05-13,2023-08-01,10.25,276.75,Debit Card,1,0,
295,295,5,Monthly,2020-12-20,2023-09-06,11.31,373.23,Net Banking,1,0,
296,296,2,Annual,2021-10-13,2021-11-12,73.56,73.56,UPI,1,0,
297,297,3,Monthly,2021-03-18,2022-11-08,166.81,3336.2,UPI,1,1,2022-04-12
298,298,2,Annual,2022-06-22,2026-02-01,99.67,4385.48,Bank Transfer,1,0,
299,299,1,Annual,2020-02-19,2022-06-08,32.17,900.76,Net Banking,1,0,
300,300,3,Annual,2021-05-26,2022-04-21,135.85,1494.35,Net Banking,1,0,
301,301,5,Annual,2023-05-16,2025-12-31,12.01,384.32,Bank Transfer,1,0,
302,302,5,Annual,2020-07-15,2022-03-07,12.06,241.2,Bank Transfer,1,1,2022-03-07
303,303,2,Monthly,2021-02-04,2023-05-25,76.18,2133.04,Net Banking,1,0,
304,304,3,Annual,2020-06-29,2021-03-26,186.24,1676.16,UPI,0,0,
305,305,1,Monthly,2022-10-13,2023-05-11,31.75,222.25,Debit Card,1,0,
306,306,1,Monthly,2021-07-26,2021-08-25,35.33,35.33,Debit Card,1,1,2021-08-25
